StartTime,EndTime,Steps,Calories,Distance(meters),ActiveTime(seconds)
2025-12-06 09:15:00,2025-12-06 09:20:33,264,10,187,144
2025-12-06 10:11:58,2025-12-06 10:15:00,241,9,170,131
2025-12-06 10:15:00,2025-12-06 10:28:08,248,10,175,135
2025-12-06 10:32:04,2025-12-06 10:42:18,148,5,105,80
2025-12-06 10:49:10,2025-12-06 11:00:00,182,7,129,99
2025-12-06 11:00:00,2025-12-06 11:15:00,552,22,391,301
2025-12-06 11:15:00,2025-12-06 11:30:00,819,33,581,446
2025-12-06 11:30:00,2025-12-06 11:45:00,707,28,501,385
2025-12-06 11:45:00,2025-12-06 12:00:00,520,20,368,283
2025-12-06 12:00:00,2025-12-06 12:05:35,68,2,48,37
2025-12-06 12:20:42,2025-12-06 12:29:07,198,8,140,108
2025-12-06 12:41:55,2025-12-06 12:45:00,212,8,150,115
2025-12-06 12:45:00,2025-12-06 13:00:00,939,37,666,512
2025-12-06 13:00:00,2025-12-06 13:00:52,99,4,70,54
2025-12-06 13:16:38,2025-12-06 13:24:50,115,4,81,62
2025-12-06 16:45:05,2025-12-06 16:59:57,219,8,155,119
2025-12-06 17:00:00,2025-12-06 17:00:57,14,0,9,7
2025-12-06 17:30:14,2025-12-06 17:34:41,193,7,136,105
2025-12-06 17:48:53,2025-12-06 17:51:51,226,9,160,123
2025-12-06 18:06:55,2025-12-06 18:11:51,317,12,224,172
2025-12-06 18:23:15,2025-12-06 18:27:50,55,2,39,30
2025-12-06 18:15:00,2025-12-06 18:30:00,10,0,7,5
2025-12-06 18:30:00,2025-12-06 18:45:00,23,0,16,12
2025-12-07 00:16:28,2025-12-07 00:19:28,51,2,36,27
2025-12-06 18:45:00,2025-12-06 19:00:00,23,0,16,12
2025-12-06 19:00:00,2025-12-06 19:15:00,23,0,16,12
2025-12-06 19:15:00,2025-12-06 19:30:00,23,0,16,12
2025-12-06 19:30:00,2025-12-06 19:45:00,23,0,16,12
2025-12-06 19:45:00,2025-12-06 20:00:00,23,0,16,12
2025-12-06 20:00:00,2025-12-06 20:15:00,23,0,16,12
2025-12-06 20:15:00,2025-12-06 20:30:00,23,0,16,12
2025-12-06 20:30:00,2025-12-06 20:45:00,23,0,16,12
2025-12-06 20:45:00,2025-12-06 21:00:00,23,0,16,12
2025-12-06 21:00:00,2025-12-06 21:15:00,23,0,16,12
2025-12-06 21:15:00,2025-12-06 21:30:00,23,0,16,12
2025-12-06 21:30:00,2025-12-06 21:45:00,23,0,16,12
2025-12-06 21:45:00,2025-12-06 22:00:00,23,0,16,12
2025-12-06 22:00:00,2025-12-06 22:15:00,23,0,16,12
2025-12-06 22:15:00,2025-12-06 22:30:00,23,0,16,12
2025-12-06 22:30:00,2025-12-06 22:45:00,23,0,16,12
2025-12-06 22:45:00,2025-12-06 23:00:00,23,0,16,12
2025-12-06 23:00:00,2025-12-06 23:15:00,23,0,16,12
2025-12-06 23:15:00,2025-12-06 23:30:00,23,0,16,12
2025-12-06 23:30:00,2025-12-06 23:33:38,98,3,69,53
2025-12-07 09:47:56,2025-12-07 09:59:27,28,1,19,15
2025-12-07 10:03:25,2025-12-07 10:09:08,106,4,75,57
2025-12-07 10:53:49,2025-12-07 10:55:04,17,0,12,9
2025-12-07 11:01:17,2025-12-07 11:15:00,897,36,636,489
2025-12-07 11:15:00,2025-12-07 11:30:00,1824,73,1294,994
2025-12-07 11:30:00,2025-12-07 11:45:00,1648,66,1169,898
2025-12-07 11:45:00,2025-12-07 12:00:00,1323,53,938,721
2025-12-07 12:00:01,2025-12-07 12:15:00,1775,71,1259,968
2025-12-07 12:15:00,2025-12-07 12:30:00,1304,52,925,711
2025-12-07 12:30:00,2025-12-07 12:45:00,875,35,620,477
2025-12-07 12:45:00,2025-12-07 12:58:27,48,1,34,26
2025-12-07 13:01:52,2025-12-07 13:09:43,48,1,34,26
2025-12-07 13:19:07,2025-12-07 13:29:55,473,19,335,258
2025-12-07 13:30:00,2025-12-07 13:45:00,256,10,181,139
2025-12-07 13:45:00,2025-12-07 13:53:41,598,24,424,326
2025-12-07 14:12:20,2025-12-07 14:14:19,125,5,88,68
2025-12-08 00:07:38,2025-12-08 00:15:00,12,0,8,6
2025-12-08 00:15:00,2025-12-08 00:30:00,26,1,18,14
2025-12-08 00:30:00,2025-12-08 00:43:57,25,0,17,13
2025-12-07 14:00:00,2025-12-07 14:15:00,22,0,15,12
2025-12-07 14:15:00,2025-12-07 14:30:00,126,5,89,68
2025-12-07 14:30:00,2025-12-07 14:45:00,126,5,89,68
2025-12-07 14:45:00,2025-12-07 15:00:00,126,5,89,68
2025-12-07 15:00:00,2025-12-07 15:15:00,126,5,89,68
2025-12-07 15:15:00,2025-12-07 15:30:00,126,5,89,68
2025-12-07 15:30:00,2025-12-07 15:45:00,126,5,89,68
2025-12-07 15:45:00,2025-12-07 16:00:00,126,5,89,68
2025-12-07 16:00:00,2025-12-07 16:15:00,126,5,89,68
2025-12-07 16:15:00,2025-12-07 16:30:00,126,5,89,68
2025-12-07 16:30:00,2025-12-07 16:45:00,126,5,89,68
2025-12-07 16:45:00,2025-12-07 17:00:00,126,5,89,68
2025-12-07 17:00:00,2025-12-07 17:15:00,126,5,89,68
2025-12-07 17:15:00,2025-12-07 17:30:00,126,5,89,68
2025-12-07 17:30:00,2025-12-07 17:45:00,126,5,89,68
2025-12-07 17:45:00,2025-12-07 18:00:00,126,5,89,68
2025-12-07 18:00:00,2025-12-07 18:15:00,126,5,89,68
2025-12-07 18:15:00,2025-12-07 18:30:00,126,5,89,68
2025-12-07 18:30:00,2025-12-07 18:45:00,126,5,89,68
2025-12-07 18:45:00,2025-12-07 19:00:00,126,5,89,68
2025-12-07 19:00:00,2025-12-07 19:15:00,126,5,89,68
2025-12-07 19:15:00,2025-12-07 19:30:00,126,5,89,68
2025-12-07 19:30:00,2025-12-07 19:45:00,126,5,89,68
2025-12-07 19:45:00,2025-12-07 20:00:00,126,5,89,68
2025-12-07 20:00:00,2025-12-07 20:15:00,126,5,89,68
2025-12-07 20:15:00,2025-12-07 20:30:00,126,5,89,68
2025-12-07 20:30:00,2025-12-07 20:45:00,126,5,89,68
2025-12-07 20:45:00,2025-12-07 21:00:00,126,5,89,68
2025-12-07 21:00:00,2025-12-07 21:15:00,126,5,89,68
2025-12-07 21:15:00,2025-12-07 21:30:00,126,5,89,68
2025-12-07 21:30:00,2025-12-07 21:45:00,126,5,89,68
2025-12-07 21:45:00,2025-12-07 22:00:00,126,5,89,68
2025-12-07 22:00:00,2025-12-07 22:15:00,126,5,89,68
2025-12-07 22:15:00,2025-12-07 22:30:00,126,5,89,68
2025-12-07 22:30:00,2025-12-07 22:45:00,126,5,89,68
2025-12-07 22:45:00,2025-12-07 23:00:00,126,5,89,68
2025-12-07 23:00:00,2025-12-07 23:15:00,126,5,89,68
2025-12-07 23:15:00,2025-12-07 23:30:00,126,5,89,68
2025-12-07 23:30:00,2025-12-07 23:45:00,126,5,89,68
2025-12-07 23:45:00,2025-12-07 23:50:42,65,1,34,63
2025-12-08 09:41:14,2025-12-08 09:42:40,17,0,12,9
2025-12-08 10:17:28,2025-12-08 10:25:59,136,5,96,74
2025-12-08 10:48:47,2025-12-08 10:49:59,30,1,21,16
2025-12-08 11:03:42,2025-12-08 11:12:31,181,7,128,98
2025-12-08 11:18:59,2025-12-08 11:30:00,318,12,225,173
2025-12-08 11:30:00,2025-12-08 11:44:43,211,8,149,115
2025-12-08 11:45:12,2025-12-08 11:59:08,1270,51,901,692
2025-12-08 12:09:50,2025-12-08 12:10:50,29,1,20,15
2025-12-08 12:16:09,2025-12-08 12:18:00,88,3,62,48
2025-12-08 13:08:00,2025-12-08 13:09:08,21,0,14,11
2025-12-08 13:59:18,2025-12-08 14:00:00,7,0,4,3
2025-12-08 14:00:00,2025-12-08 14:15:00,885,35,627,482
2025-12-08 14:15:01,2025-12-08 14:29:57,860,34,610,469
2025-12-08 14:38:14,2025-12-08 14:39:22,22,0,15,12
