StartTime,EndTime,Steps,Calories,Distance(meters),ActiveTime(seconds)
2025-12-13 04:00:00,2025-12-13 04:15:00,15,0,10,8
2025-12-13 04:15:00,2025-12-13 04:30:00,15,0,10,8
2025-12-13 04:30:00,2025-12-13 04:45:00,15,0,10,8
2025-12-13 04:45:00,2025-12-13 05:00:00,15,0,10,8
2025-12-13 05:00:00,2025-12-13 05:15:00,15,0,10,8
2025-12-13 05:15:00,2025-12-13 05:30:00,15,0,10,8
2025-12-13 05:30:00,2025-12-13 05:45:00,15,0,10,8
2025-12-13 05:45:00,2025-12-13 06:00:00,15,0,10,8
2025-12-13 06:00:00,2025-12-13 06:15:00,15,0,10,8
2025-12-13 06:15:00,2025-12-13 06:30:00,15,0,10,8
2025-12-13 06:30:00,2025-12-13 06:45:00,15,0,10,8
2025-12-13 06:45:00,2025-12-13 07:00:00,15,0,10,8
2025-12-13 07:00:00,2025-12-13 07:15:00,15,0,10,8
2025-12-13 07:15:00,2025-12-13 07:30:00,15,0,10,8
2025-12-13 07:30:00,2025-12-13 07:45:00,15,0,10,8
2025-12-13 07:45:00,2025-12-13 08:00:00,15,0,10,8
2025-12-13 08:00:00,2025-12-13 08:15:00,15,0,10,8
2025-12-13 08:15:00,2025-12-13 08:30:00,15,0,10,8
2025-12-13 08:30:00,2025-12-13 08:45:00,15,0,10,8
2025-12-13 08:45:00,2025-12-13 09:00:00,15,0,10,8
2025-12-13 09:00:00,2025-12-13 09:15:00,15,0,10,8
2025-12-13 09:15:00,2025-12-13 09:30:00,15,0,10,8
2025-12-13 09:30:00,2025-12-13 09:45:00,15,0,10,8
2025-12-13 09:45:00,2025-12-13 10:00:00,15,0,10,8
2025-12-13 10:00:00,2025-12-13 10:15:00,15,0,10,8
2025-12-13 10:15:00,2025-12-13 10:30:00,15,0,10,8
2025-12-13 10:30:00,2025-12-13 10:45:00,15,0,10,8
2025-12-13 10:45:00,2025-12-13 11:00:00,15,0,10,8
2025-12-13 11:00:00,2025-12-13 11:15:00,15,0,10,8
2025-12-13 11:15:00,2025-12-13 11:30:00,15,0,10,8
2025-12-13 11:30:00,2025-12-13 11:45:00,15,0,10,8
2025-12-13 11:45:00,2025-12-13 12:00:00,15,0,10,8
2025-12-13 12:00:00,2025-12-13 12:15:00,15,0,10,8
2025-12-13 12:15:00,2025-12-13 12:30:00,15,0,10,8
2025-12-13 12:30:00,2025-12-13 12:45:00,15,0,10,8
2025-12-13 12:45:00,2025-12-13 13:00:00,15,0,10,8
2025-12-13 13:00:00,2025-12-13 13:15:00,15,0,10,8
2025-12-13 13:15:00,2025-12-13 13:30:00,15,0,10,8
2025-12-13 13:30:00,2025-12-13 13:45:00,15,0,10,8
2025-12-13 13:45:00,2025-12-13 14:00:00,15,0,10,8
2025-12-13 14:00:00,2025-12-13 14:15:00,15,0,10,8
2025-12-13 14:15:00,2025-12-13 14:30:00,15,0,10,8
2025-12-13 14:30:00,2025-12-13 14:45:00,15,0,10,8
2025-12-13 14:45:00,2025-12-13 15:00:00,15,0,10,8
2025-12-13 15:00:00,2025-12-13 15:15:00,15,0,10,8
2025-12-13 15:15:00,2025-12-13 15:30:00,15,0,10,8
2025-12-13 15:30:00,2025-12-13 15:45:00,15,0,10,8
2025-12-13 15:45:00,2025-12-13 16:00:00,15,0,10,8
2025-12-13 16:00:00,2025-12-13 16:15:00,15,0,10,8
2025-12-13 16:15:00,2025-12-13 16:30:00,15,0,10,8
2025-12-13 16:30:00,2025-12-13 16:45:00,15,0,10,8
2025-12-13 16:45:00,2025-12-13 17:00:00,15,0,10,8
2025-12-13 17:00:00,2025-12-13 17:15:00,15,0,10,8
2025-12-13 17:15:00,2025-12-13 17:30:00,15,0,10,8
2025-12-13 17:30:00,2025-12-13 17:45:00,15,0,10,8
2025-12-13 17:45:00,2025-12-13 18:00:00,15,0,10,8
2025-12-13 18:00:00,2025-12-13 18:15:00,15,0,10,8
2025-12-13 18:15:00,2025-12-13 18:30:00,15,0,10,8
2025-12-13 18:30:00,2025-12-13 18:45:00,15,0,10,8
2025-12-13 18:45:00,2025-12-13 19:00:00,15,0,10,8
2025-12-13 19:00:00,2025-12-13 19:15:00,15,0,10,8
2025-12-13 19:15:00,2025-12-13 19:30:00,15,0,10,8
2025-12-13 19:30:00,2025-12-13 19:45:00,15,0,10,8
2025-12-13 19:45:00,2025-12-13 20:00:00,15,0,10,8
2025-12-13 20:00:00,2025-12-13 20:15:00,15,0,10,8
2025-12-13 20:15:00,2025-12-13 20:30:00,15,0,10,8
2025-12-13 20:30:00,2025-12-13 20:45:00,15,0,10,8
2025-12-13 20:45:00,2025-12-13 21:00:00,15,0,10,8
2025-12-13 21:00:00,2025-12-13 21:08:59,30,0,6,31
2025-12-11 08:30:00,2025-12-11 08:45:00,70,2,50,38
2025-12-11 08:45:00,2025-12-11 09:00:00,168,5,119,92
2025-12-11 09:00:00,2025-12-11 09:15:00,168,5,119,92
2025-12-11 09:15:00,2025-12-11 09:30:00,168,5,119,92
2025-12-11 09:30:00,2025-12-11 09:45:00,168,5,119,92
2025-12-11 09:45:00,2025-12-11 10:00:00,168,5,119,92
2025-12-11 10:00:00,2025-12-11 10:15:00,168,5,119,92
2025-12-11 10:15:00,2025-12-11 10:30:00,168,5,119,92
2025-12-11 10:30:00,2025-12-11 10:45:00,168,5,119,92
2025-12-11 10:45:00,2025-12-11 11:00:00,168,5,119,92
2025-12-11 11:00:00,2025-12-11 11:15:00,168,5,119,92
2025-12-11 11:15:00,2025-12-11 11:30:00,168,5,119,92
2025-12-11 11:30:00,2025-12-11 11:45:00,168,5,119,92
2025-12-11 11:45:00,2025-12-11 12:00:00,168,5,119,92
2025-12-11 12:00:00,2025-12-11 12:15:00,168,5,119,92
2025-12-11 12:15:00,2025-12-11 12:30:00,168,5,119,92
2025-12-11 12:30:00,2025-12-11 12:45:00,168,5,119,92
2025-12-11 12:45:00,2025-12-11 13:00:00,168,5,119,92
